Bureau of Justice Statistics,,,,,
File name: cv15at01.csv,,,,,
"Appendix table 1. Estimates and standard errors for figure 1: Violent victimization, 1993–2015",,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,
"Data source: National Crime Victimization Survey, 1993–2015",,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,
Date of version: 10/20/2016,,,,,
,,,,,
Appendix table 1,,,,,
"Estimates and standard errors for figure 1: Violent victimization, 1993–2015",,,,,
,"Rate per 1,000 persons age 12 or older",Standard error,,95% confidence interval,
Year,,,,Lower bound,Upper bound
1993,79.8,2.93,,74.02,85.51
1994,80,2.72,,74.7,85.37
1995,70.7,2.41,,65.96,75.4
1996,64.7,2.63,,59.56,69.88
1997,61.1,2.78,,55.61,66.52
1998,54.1,2.61,,49.01,59.26
1999,47.2,2.34,,42.61,51.8
2000,37.5,1.98,,33.6,41.38
2001,32.6,1.67,,29.35,35.88
2002,32.1,2.07,,28.01,36.11
2003,32.1,1.68,,28.79,35.39
2004,27.8,1.34,,25.19,30.46
2005,28.4,1.63,,25.21,31.62
2006,34.1,1.87,,30.44,37.76
2007,27.2,1.55,,24.18,30.26
2008,25.3,1.6,,22.21,28.49
2009,22.3,1.31,,19.74,24.88
2010,19.3,1.44,,16.46,22.11
2011,22.6,1.38,,19.86,25.28
2012,26.1,1.2,,23.77,28.46
2013,23.2,1.62,,20,26.34
2014,20.1,1.22,,17.7,22.5
2015,18.6,1.16,,16.31,20.85
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2015.",,,,,
