Bureau of Justice Statistics,,,,,,,
File name: cv15at02.csv,,,,,,,
"Appendix table 2. Standard errors for table 1: Violent victimization, by type of violent crime, 2014 and 2015",,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,
Date of version: 10/20/2016,,,,,,,
,,,,,,,
Appendix table 2,,,,,,,
"Standard errors for table 1: Violent victimization, by type of violent crime, 2014 and 2015",,,,,,,
,,,Number of victimizations,,,Rate,
Type of violent crime,,,2014,2015,,2014,2015
Violent crime,,,"326,328","312,236",,1.22,1.16
,Rape/sexual assault,,"48,603","64,514",,0.18,0.24
,Robbery,,"82,903","77,405",,0.31,0.29
,Assault,,"286,771","269,261",,1.08,1
,,Aggravated assault,"114,257","96,201",,0.43,0.36
,,Simple assault,"237,439","231,742",,0.89,0.86
,Domestic violence,,"130,862","66,931",,0.49,0.5
,,Intimate partner violence,"89,469","57,792",,0.34,0.41
,Stranger violence,,"207,081","84,013",,0.78,0.71
,Violent crime involving injury,,"151,608","72,566",,0.57,0.57
Serious violent crime,,,"198,751","84,126",,0.75,0.71
,Serious domestic violence,,"65,610","43,729",,0.25,0.28
,,Serious intimate partner violence,"50,038","37,099",,0.19,0.23
,Serious stranger violence,,"116,039","53,564",,0.44,0.37
,Serious violent crime involving weapons,,"146,350","63,445",,0.55,0.47
,Serious violent crime involving injury,,"94,912","52,300",,0.36,0.36
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,
