Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,
File name: cv15at04.csv,,,,,,,,,,,,,,,,,,,
"Appendix table 4. Nonfatal firearm violence, 2014 and 2015",,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Appendix table 4,,,,,,,,,,,,,,,,,,,
"Nonfatal firearm violence, 2014 and 2015",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,95% confidence interval,,,,,,,,
,Estimates,,,,,Standard errors,,,,,2014,,,,,2015,,,
,2014*,,2015,,,2014,,2015,,,Lower bound,,Upper bound,,,Lower bound,,Upper bound,
Firearm incidents,"414,700",,"260,200", ‡,,"67,207",,"51,588",,,"282,970",,"546,422",,,"159,091",,"361,315",
Firearm victimizations,"466,110",,"284,910", ‡,,"72,678",,"54,750",,,"323,663",,"608,563",,,"177,600",,"392,220",
Rate of firearm violence,1.7,,1, ‡,,0.27,,0.2,,,1.21,,2.28,,,0.66,,1.46,
Percent of firearm victimizations ,,,,,,,,,,,,,,,,,,,
  reported to the police,81.9,%,77,%,,4.8,%,6.64,%,,72.46,%,91.3,%,,63.45,%,89.48,%
*Comparison year. ,,,,,,,,,,,,,,,,,,,
‡Significant difference from comparison year at 90% confidence level.,,,,,,,,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,,,,,,,,,,,,
