Bureau of Justice Statistics,,,,
File name: cv15at05.csv,,,,
"Appendix table 5. Estimates and standard errors for figure 3: Property victimization, 1993–2015",,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,
"Data source: National Crime Victimization Survey, 1993–2015",,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,
Date of version: 10/20/2016,,,,
,,,,
Appendix table 5,,,,
"Estimates and standard errors for figure 3: Property victimization, 1993–2015",,,,
,,,95% confidence interval,
Year,"Rate per 1,000 households",Standard error,Lower bound,Upper bound
1993,351.8,5.56,340.94,362.72
1994,341,5.66,330.09,352.27
1995,316,5.29,305.1,325.84
1996,289.3,4.33,280.82,297.78
1997,267.1,5.77,255.75,278.37
1998,237.1,5.35,226.65,247.61
1999,210.6,4.77,201.26,219.94
2000,190.4,5.71,179.24,201.62
2001,177.7,4.99,167.94,187.51
2002,168.2,4.17,160.01,176.35
2003,173.4,4.51,164.58,182.24
2004,167.5,3.91,159.85,175.19
2005,159.5,3.97,151.69,167.24
2006,169,3.63,161.84,176.09
2007,154.9,3.48,148.12,161.77
2008,142.6,3.66,135.45,149.8
2009,132.6,3.32,126.12,139.12
2010,125.4,2.73,120.06,130.77
2011,138.7,3.5,131.82,145.55
2012,155.8,3.08,149.8,161.87
2013,131.4,2.89,125.77,137.1
2014,118.1,2.6,112.96,123.17
2015,110.7,2.65,105.54,115.91
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2015.",,,,
