Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at07.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 7. Estimates and standard errors for figure 4: Percent of victimizations reported to police, 1993–2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993–2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Estimates and standard errors for figure 4: Percent of victimizations reported to police, 1993–2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violent victimizations,,,,,,,,,,Serious violent victimizations,,,,,,,,,,Property victimizations,,,,,,,,
,,,,,,95% confidence interval,,,,,,,,,,95% confidence interval,,,,,,,,,,95% confidence interval,,,
Year,Percent,,Standard error,,,Lower bound,,Upper bound,,,Percent,,Standard error,,,Lower bound,,Upper bound,,,Percent,,Standard error,,,Lower ,,Upper ,
1993,42.4,%,1.7,%,,39,%,45.77,%,,51.1,%,2.4,%,,46.41,%,55.83,%,,31.8,%,0.72,%,,30.39,%,33.23,
1994,40.5,,1.41,,,37.7,,43.24,,,49.7,,2.06,,,45.64,,53.72,,,32.2,,0.73,,,30.75,,33.62,
1995,40.9,,1.5,,,37.97,,43.87,,,49.9,,2.2,,,45.55,,54.19,,,32.1,,0.74,,,30.64,,33.56,
1996,40.3,,1.68,,,37.03,,43.62,,,46.3,,2.38,,,41.61,,50.95,,,33.7,,0.72,,,32.3,,35.13,
1997,41.9,,1.89,,,38.22,,45.65,,,54.4,,2.71,,,49.08,,59.69,,,33.4,,0.86,,,31.74,,35.12,
1998,45.4,,1.92,,,41.59,,49.12,,,55,,2.74,,,49.64,,60.36,,,33.5,,0.91,,,31.7,,35.27,
1999,43.1,,2.05,,,39.04,,47.07,,,50.4,,2.92,,,44.71,,56.15,,,33,,0.9,,,31.24,,34.77,
2000,46,,2.24,,,41.58,,50.36,,,51.9,,3.14,,,45.73,,58.02,,,34.5,,1.09,,,32.34,,36.62,
2001,49,,2.13,,,44.79,,53.15,,,57.5,,3.01,,,51.61,,63.41,,,36,,1.07,,,33.95,,38.14,
2002,50.8,,2.54,,,45.79,,55.76,,,64.8,,3.47,,,57.94,,71.57,,,38.9,,1.01,,,36.95,,40.93,%
2003,47.5,,2.31,,,42.98,,52.05,,,58.4,,3.31,,,51.86,,64.85,,,37.5,,1.05,,,35.48,,39.61,
2004,50.3,,2.15,,,46.1,,54.52,,,62.8,,3.01,,,56.9,,68.71,,,39.2,,0.97,,,37.3,,41.1,
2005,45.8,,2.37,,,41.14,,50.41,,,59,,3.41,,,52.29,,65.66,,,38.7,,1.04,,,36.7,,40.76,
2006,46.6,,2.16,,,42.39,,50.84,,,49.1,,2.95,,,43.32,,54.9,,,38.1,,0.93,,,36.23,,39.87,
2007,44.9,,2.48,,,40.07,,49.8,,,56,,3.39,,,49.39,,62.7,,,37.1,,0.94,,,35.23,,38.91,
2008,46.4,,2.58,,,41.32,,51.45,,,56.1,,3.88,,,48.52,,63.72,,,40.2,,1.1,,,38.09,,42.39,
2009,44.1,,2.91,,,38.42,,49.83,,,49.5,,4.1,,,41.46,,57.54,,,38.4,,1.02,,,36.4,,40.42,
2010,51.1,,3.02,,,45.2,,57.02,,,57.3,,4.1,,,49.29,,65.37,,,39.2,,0.95,,,37.34,,41.07,
2011,49,,2.55,,,43.99,,53.99,,,61.3,,3.58,,,54.24,,68.29,,,36.9,,1.11,,,34.71,,39.05,
2012,44.2,,2.15,,,39.99,,48.41,,,54.4,,3.29,,,47.96,,60.87,,,33.5,,0.84,,,31.88,,35.16,
2013,45.6,,2.84,,,40.04,,51.19,,,61,,3.99,,,53.17,,68.82,,,36.1,,0.91,,,34.26,,37.85,
2014,46,,2.62,,,40.87,,51.15,,,55.8,,3.61,,,48.67,,62.84,,,37,,0.96,,,35.1,,38.86,
2015,46.5,,2.79,,,41.04,,51.99,,,54.9,,3.91,,,47.27,,62.62,,,34.6,,0.99,,,32.61,,36.49,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993–2015.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
