Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at09.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 9. Standard errors for table 5: Rate of victimizations reported and not reported to police, by type of crime, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 5: Rate of victimizations reported and not reported to police, by type of crime, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Reported to police,,,Not reported to police,,,,,,,,,,,,,,,,,,,,,,,
Type of crime,,,2014,2015,,2014,2015,,,,,,,,,,,,,,,,,,,95% confidence interval,,,
Violent crime,,,0.85,0.84,,0.93,0.89,,,,,,,,,,,,,,,,,,,Lower ,,Upper ,
,Rape/sexual assault,,0.1,0.13,,0.15,0.2,,,,,,,,,,,,,,,,,,,30.39,%,33.23,
,Robbery,,0.25,0.24,,0.18,0.17,,,,,,,,,,,,,,,,,,,30.75,,33.62,
,Assault,,0.73,0.71,,0.83,0.77,,,,,,,,,,,,,,,,,,,30.64,,33.56,
,,Aggravated assault,0.34,0.3,,0.26,0.21,,,,,,,,,,,,,,,,,,,32.3,,35.13,
,,Simple assault,0.55,0.57,,0.72,0.69,,,,,,,,,,,,,,,,,,,31.74,,35.12,
,Domestic violence,,0.33,0.34,,0.27,0.28,,,,,,,,,,,,,,,,,,,31.7,,35.27,
,,Intimate partner violence,0.23,0.27,,0.18,0.24,,,,,,,,,,,,,,,,,,,31.24,,34.77,
,Stranger violence,,0.47,0.39,,0.48,0.47,,,,,,,,,,,,,,,,,,,32.34,,36.62,
,Violent crime involving injury,,0.38,0.38,,0.32,0.31,,,,,,,,,,,,,,,,,,,33.95,,38.14,
Serious violent crime,,,0.5,0.47,,0.42,0.4,,,,,,,,,,,,,,,,,,,36.95,,40.93,%
,Serious domestic violence,,0.18,0.2,,0.13,0.15,,,,,,,,,,,,,,,,,,,35.48,,39.61,
,,Serious intimate partner violence,0.13,0.14,,0.11,0.14,,,,,,,,,,,,,,,,,,,37.3,,41.1,
,Serious stranger violence,,0.33,0.24,,0.21,0.21,,,,,,,,,,,,,,,,,,,36.7,,40.76,
,Serious violent crime involving weapons,,0.38,0.31,,0.3,0.26,,,,,,,,,,,,,,,,,,,36.23,,39.87,
,Serious violent crime involving injury,,0.26,0.25,,0.19,0.2,,,,,,,,,,,,,,,,,,,35.23,,38.91,
Property crime,,,1.5,1.44,,2.03,2.08,,,,,,,,,,,,,,,,,,,38.09,,42.39,
,Burglary,,0.76,0.69,,0.58,0.66,,,,,,,,,,,,,,,,,,,36.4,,40.42,
,Motor vehicle theft,,0.34,0.32,,0.14,0.2,,,,,,,,,,,,,,,,,,,37.34,,41.07,
,Theft,,1.11,1.09,,1.87,1.87,,,,,,,,,,,,,,,,,,,34.71,,39.05,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,,37.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
