Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at12.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 12. Standard errors for table 8: Rate of violent and property victimization, by household location, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 8: Rate of violent and property victimization, by household location, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Violent crime,,,Serious violent crime,,,Property crime,,,,,,,,,,,,,,,,,,,,,
Household location,,2014,2015,,2014,2015,,2014,2015,,,,,,,,,,,,,,,,,95% confidence interval,,,
,Total,1.22,1.16,,0.75,0.71,,2.6,2.65,,,,,,,,,,,,,,,,,Lower ,,Upper ,
Region,,,,,,,,,,,,,,,,,,,,,,,,,,30.39,%,33.23,
,Northeast,2.3,2.24,,1.11,1.02,,4.24,4.23,,,,,,,,,,,,,,,,,30.75,,33.62,
,Midwest,2.27,2.27,,1.16,1.21,,4.42,4.38,,,,,,,,,,,,,,,,,30.64,,33.56,
,South,1.94,1.79,,1.01,0.88,,3.76,3.72,,,,,,,,,,,,,,,,,32.3,,35.13,
,West,2.22,2.38,,1.29,1.33,,5.23,5.22,,,,,,,,,,,,,,,,,31.74,,35.12,
Location of residence,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,35.27,
,Urban,2.12,2.23,,1.19,1.17,,4.4,4.32,,,,,,,,,,,,,,,,,31.24,,34.77,
,Suburban,1.7,1.63,,0.85,0.83,,3.13,3.17,,,,,,,,,,,,,,,,,32.34,,36.62,
,Rural,2.37,2.08,,1.21,0.96,,4.9,4.9,,,,,,,,,,,,,,,,,33.95,,38.14,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,36.95,,40.93,%
,,,,,,,,,,,,,,,,,,,,,,,,,,35.48,,39.61,
,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,41.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,40.76,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.23,,39.87,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.23,,38.91,
,,,,,,,,,,,,,,,,,,,,,,,,,,38.09,,42.39,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,40.42,
,,,,,,,,,,,,,,,,,,,,,,,,,,37.34,,41.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.71,,39.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,,37.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
