Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at13.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 13. Standard errors for table 9: Number of victims and prevalence rate, by type of crime, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix table 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 9: Number of victims and prevalence rate, by type of crime, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Number of persons victimized,,,Prevalence rate,,,,,,,,,,,,,,,,,,,,,,,
Type of crime,,,2014,2015,,2014,,2015,,,,,,,,,,,,,,,,,,95% confidence interval,,,
Violent crime,,,"112,101","114,796",,0.04,%,0.041,%,,,,,,,,,,,,,,,,,Lower ,,Upper ,
,Rape/sexual assault,,"19,745",27828,,0.01,,0.01,,,,,,,,,,,,,,,,,,30.39,%,33.23,
,Robbery,,"42,962","36,761",,0.02,,0.014,,,,,,,,,,,,,,,,,,30.75,,33.62,
,Assault,,"104,061","103,323",,0.04,,0.037,,,,,,,,,,,,,,,,,,30.64,,33.56,
,,Aggravated assault,"47,323",42526,,0.02,,0.016,,,,,,,,,,,,,,,,,,32.3,,35.13,
,,Simple assault,90454,88692,,0.03,,0.032,,,,,,,,,,,,,,,,,,31.74,,35.12,
,Domestic violence,,"46,899","42,869",,0.02,,0.016,,,,,,,,,,,,,,,,,,31.7,,35.27,
,,Intimate partner violence,"31,777",35432,,0.01,,0.013,,,,,,,,,,,,,,,,,,31.24,,34.77,
,Stranger violence,,"63,072","67,100",,0.024,,0.03,,,,,,,,,,,,,,,,,,32.34,,36.62,
,Violent crime involving injury,,"52,780","55,136",,0.02,,0.02,,,,,,,,,,,,,,,,,,33.95,,38.14,
Serious violent crime,,,"66,094","60,663",,0.025,%,0.023,%,,,,,,,,,,,,,,,,,36.95,,40.93,%
,Serious domestic violence,,"30,045","27,102",,0.011,,0.01,,,,,,,,,,,,,,,,,,35.48,,39.61,
,,Serious intimate partner violence,"19,438","20,437",,0.007,,0.008,,,,,,,,,,,,,,,,,,37.3,,41.1,
,Serious stranger violence,,"43,792","38,517",,0.017,,0.014,,,,,,,,,,,,,,,,,,36.7,,40.76,
,Serious violent crime involving weapons,,"53,511","41,979",,0.02,,0.016,,,,,,,,,,,,,,,,,,36.23,,39.87,
,Serious violent crime involving injury,,"36,633","36,972",,0.014,,0.014,,,,,,,,,,,,,,,,,,35.23,,38.91,
Property crime,,,"230,653","243,226",,0.162,%,0.166,%,,,,,,,,,,,,,,,,,38.09,,42.39,
,Burglary,,"84,021","88,850",,0.065,,0.065,,,,,,,,,,,,,,,,,,36.4,,40.42,
,Motor vehicle theft,,"33,095","37,158",,0.026,,0.028,,,,,,,,,,,,,,,,,,37.34,,41.07,
,Theft,,"205,728","206,731",,0.144,,0.144,,,,,,,,,,,,,,,,,,34.71,,39.05,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,,37.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
