Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File name: cv15at15.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Appendix table 15. Standard errors for table 12: Distribution of types of rape and sexual assault victimizations, 2006–2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appendix Table 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Standard errors for table 12: Distribution of types of rape and sexual assault victimizations, 2006–2015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type of rape/sexual assault,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Completed rape,1.92,%,,,,,,,,,,,,,,,,,,,,,,,,95% confidence interval,,,
Attempted rape,1.71,,,,,,,,,,,,,,,,,,,,,,,,,Lower ,,Upper ,
Sexual assault,1.9,,,,,,,,,,,,,,,,,,,,,,,,,30.39,%,33.23,
Unwanted sexual contact without force,0.9,,,,,,,,,,,,,,,,,,,,,,,,,30.75,,33.62,
Verbal threats of rape and sexual assault ,1.55,,,,,,,,,,,,,,,,,,,,,,,,,30.64,,33.56,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2006–2015.",,,,,,,,,,,,,,,,,,,,,,,,,,32.3,,35.13,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.74,,35.12,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.7,,35.27,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.24,,34.77,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.34,,36.62,
,,,,,,,,,,,,,,,,,,,,,,,,,,33.95,,38.14,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.95,,40.93,%
,,,,,,,,,,,,,,,,,,,,,,,,,,35.48,,39.61,
,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,,41.1,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.7,,40.76,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.23,,39.87,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.23,,38.91,
,,,,,,,,,,,,,,,,,,,,,,,,,,38.09,,42.39,
,,,,,,,,,,,,,,,,,,,,,,,,,,36.4,,40.42,
,,,,,,,,,,,,,,,,,,,,,,,,,,37.34,,41.07,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.71,,39.05,
,,,,,,,,,,,,,,,,,,,,,,,,,,31.88,,35.16,
,,,,,,,,,,,,,,,,,,,,,,,,,,34.26,,37.85,
,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,,38.86,
,,,,,,,,,,,,,,,,,,,,,,,,,,32.61,,36.49,
