Bureau of Justice Statistics,,,
File name: cv15f01.csv,,,
"Figure 1. Violent victimization, 1993–2015",,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,
"Data source: National Crime Victimization Survey, 1993–2015",,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 10/20/2016,,,
,,,
Figure 1,,,
"Violent victimization, 1993–2015",,,
,Upper bound,"Rate per 1,000 persons age 12 or older",Lower bound
'93,85.51,79.8,74.02
'94,85.37,80,74.7
'95,75.4,70.7,65.96
'96,69.88,64.7,59.56
'97,66.52,61.1,55.61
'98,59.26,54.1,49.01
'99,51.8,47.2,42.61
'00,41.38,37.5,33.6
'01,35.88,32.6,29.35
'02,36.11,32.1,28.01
'03,35.39,32.1,28.79
'04,30.46,27.8,25.19
'05,31.62,28.4,25.21
'06*,37.76,34.1,30.44
'07,30.26,27.2,24.18
'08,28.49,25.3,22.21
'09,24.88,22.3,19.74
'10,22.11,19.3,16.46
'11,25.28,22.6,19.86
'12,28.46,26.1,23.77
13,26.34,23.2,20
'14,22.5,20.1,17.7
'15,20.85,18.6,16.31
Note: Estimates include 95% confidence intervals. See appendix table 1 for estimates and standard errors.,,,
"*See Criminal Victimization, 2007 (NCJ 224390, BJS web, December 2008) for information on changes in the 2006 NCVS.",,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 1993–2015.",,,
