Bureau of Justice Statistics,,,
File name: cv15f02.csv,,,
"Figure 2. Nonfatal firearm victimization, 1993–2015",,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,
"Data source: National Crime Victimization Survey, 1993–2015",,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,
Date of version: 10/20/2016,,,
,,,
Figure 2,,,
"Nonfatal firearm victimization, 1993–2015",,,
,Upper bound,"Rate per 1,000 persons age 12 or older",Lower bound
'93,8.67,7.3,5.84
'94,8.56,7.4,6.16
'95,6.55,5.5,4.54
'96,6.09,5.1,4.04
'97,5.73,4.7,3.59
'98,4.63,3.8,2.9
'99,3.61,2.9,2.09
'00,3.42,2.7,1.96
'01,3.09,2.5,1.83
'02,3.03,2.3,1.64
'03,2.53,2,1.38
'04,2.4,1.9,1.38
'05,2.66,2.1,1.46
'06*,3.14,2.5,1.83
'07,2.84,2.2,1.59
'08,1.99,1.5,0.95
'09,2.2,1.6,1.03
'10,2.18,1.6,1.07
'11,2.36,1.8,1.28
'12,2.25,1.8,1.27
13,1.73,1.3,0.79
'14,2.28,1.7,1.21
'15,1.46,1.1,0.66
Note: Estimates include 95% confidence intervals. See appendix table 3 for estimates and standard errors.,,,
"*See Criminal Victimization, 2007 (NCJ 224390, BJS web, December 2008) for information on changes in the 2006 NCVS.",,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 1993–2015.",,,
