Bureau of Justice Statistics,,,,,,,,,,,,,
File name: cv15f04.csv,,,,,,,,,,,,,
"Figure 4. Percent of victimizations reported to police, 1993–2015",,,,,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,,,,
"Data source: National Crime Victimization Survey, 1993–2015",,,,,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,,,,
,,,,,,,,,,,,,
Figure 4,,,,,,,,,,,,,
"Percent of victimizations reported to police, 1993–2015",,,,,,,,,,,,,
,Property,Lower bound,Upper bound,,,Serious violent,Lower bound,Upper bound,,,Violent,Lower bound,Upper bound
'93,31.8,30.39,33.23,,'93,51.1,46.41,55.83,,'93,42.4,39.09,45.77
'94,32.2,30.75,33.62,,'94,49.7,45.64,53.72,,'94,40.5,37.7,43.24
'95,32.1,30.64,33.56,,'95,49.9,45.55,54.19,,'95,40.9,37.97,43.87
'96,33.7,32.3,35.13,,'96,46.3,41.61,50.95,,'96,40.3,37.03,43.62
'97,33.4,31.74,35.12,,'97,54.4,49.08,59.69,,'97,41.9,38.22,45.65
'98,33.5,31.7,35.27,,'98,55,49.64,60.36,,'98,45.4,41.59,49.12
'99,33,31.24,34.77,,'99,50.4,44.71,56.15,,'99,43.1,39.04,47.07
'00,34.5,32.34,36.62,,'00,51.9,45.73,58.02,,'00,46,41.58,50.36
'01,36,33.95,38.14,,'01,57.5,51.61,63.41,,'01,49,44.79,53.15
'02,38.9,36.95,40.93,,'02,64.8,57.94,71.57,,'02,50.8,45.79,55.76
'03,37.5,35.48,39.61,,'03,58.4,51.86,64.85,,'03,47.5,42.98,52.05
'04,39.2,37.3,41.1,,'04,62.8,56.9,68.71,,'04,50.3,46.1,54.52
'05,38.7,36.7,40.76,,'05,59,52.29,65.66,,'05,45.8,41.14,50.41
'06*,38.1,36.23,39.87,,'06*,49.1,43.32,54.9,,'06*,46.6,42.39,50.84
'07,37.1,35.23,38.91,,'07,56,49.39,62.7,,'07,44.9,40.07,49.8
'08,40.2,38.09,42.39,,'08,56.1,48.52,63.72,,'08,46.4,41.32,51.45
'09,38.4,36.4,40.42,,'09,49.5,41.46,57.54,,'09,44.1,38.42,49.83
'10,39.2,37.34,41.07,,'10,57.3,49.29,65.37,,'10,51.1,45.2,57.02
'11,36.9,34.71,39.05,,'11,61.3,54.24,68.29,,'11,49,43.99,53.99
'12,33.5,31.88,35.16,,'12,54.4,47.96,60.87,,'12,44.2,39.99,48.41
'13,36.1,34.26,37.85,,'13,61,53.17,68.82,,'13,45.6,40.04,51.19
'14,37,35.1,38.86,,'14,55.8,48.67,62.84,,'14,46,40.87,51.15
'15,34.6,32.61,36.49,,'15,54.9,47.27,62.62,,'15,46.5,41.04,51.99
Note: Estimates include 95% confidence intervals. See appendix table 7 for estimates and standard errors.,,,,,,,,,,,,,
"*See Criminal Victimization, 2007 (NCJ 224390, BJS web, December 2008) for information on changes in the 2006 NCVS.",,,,,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 1993–2015.",,,,,,,,,,,,,
