Bureau of Justice Statistics,,,,,,,,,
File name: cv15t01.csv,,,,,,,,,
"Table 1. Violent victimization, by type of violent crime, 2014 and 2015",,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,
,,,,,,,,,
Table 1,,,,,,,,,
"Violent victimization, by type of violent crime, 2014 and 2015",,,,,,,,,
,,,Number,,,,"Rate per 1,000 persons age 12 or older",,
Type of violent crime,,,2014*,2015,,,2014*,2015,
Violent crime/a,,,"5,359,570","5,006,620",,,20.1,18.6,
,Rape/sexual assault/b,,"284,350","431,840", ‡,,1.1,1.6, ‡
,Robbery,,"664,210","578,580",,,2.5,2.1,
,Assault,,"4,411,010","3,996,200",,,16.5,14.8,
,,Aggravated assault,"1,092,090","816,760", ‡,,4.1,3, ‡
,,Simple assault,"3,318,920","3,179,440",,,12.4,11.8,
,Domestic violence/c,,"1,109,880","1,094,660",,,4.2,4.1,
,,Intimate partner violence/d,"634,610","806,050", ‡,,2.4,3,
,Stranger violence,,"2,166,130","1,821,310",,,8.1,6.8,
,Violent crime involving injury,,"1,375,950","1,303,290",,,5.2,4.8,
Serious violent crimee,,,"2,040,650","1,827,170",,,7.7,6.8,
,Serious domestic violence/c,,"400,030","460,450",,,1.5,1.7,
,,Serious intimate partner violence/d,"265,890","333,210",,,1,1.2,
,Serious stranger violence,,"930,690","690,550", ‡,,3.5,2.6,
,Serious violent crime involving weapons,,"1,306,900","977,840", †,,4.9,3.6, ‡
,Serious violent crime involving injury,,"692,470","658,040",,,2.6,2.4,
"Note: Detail may not sum to total due to rounding. Total population age 12 or older was 266,665,160 in 2014 and 269,526,470 in 2015. See appendix table 2 for standard errors. ",,,,,,,,,
*Comparison year.,,,,,,,,,
†Significant difference from comparison year at 95% confidence level.,,,,,,,,,
‡Significant difference from comparison year at 90% confidence level.,,,,,,,,,
a/Excludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.,,,,,,,,,
b/BJS has initiated projects examining collection methods for self-report data on rape and sexual assault. See NCVS measurement of rape and sexual assault in Methodology for more information.,,,,,,,,,
c/Includes victimization committed by intimate partners and family members. ,,,,,,,,,
"d/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,
"e/In the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 and 2015.",,,,,,,,,
