Bureau of Justice Statistics,,,,,,,
File name: cv15t02.csv,,,,,,,
"Table 2. Percent change in the number of crimes reported in the UCR and the NCVS, 2014-2015",,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,
"Data source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 -2015; and FBI, Crime in the United States, 2015.",,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,
Date of version: 10/20/2016,,,,,,,
,,,,,,,
Table 2,,,,,,,
"Percent change in the number of crimes reported in the UCR and the NCVS, 2014–2015",,,,,,,
,,,,NCVS,,,
Type of crime,,UCR,,Total,,Reported ,
to police,,,,,,,
Violent crime/a,,~,,-6.6,%,-5.6,%
Serious violent crime/b,,3.9,%,-10.5,%,-11.8,%
,Murder,10.8,,~,,~,
,Rape/c,5.1,,51.9, ‡,47.1,
,Robbery,1.4,,-12.9,,-11.6,
,Aggravated assault,4.6,,-25.2, ‡,-20.7,
Property crime,,-2.6,%,-4.4,% ‡,-10.7,% †
,Burglary,-7.8,,-3,,-17.9, †
,Motor vehicle theft,3.1,,5.6,,-12.5,
~Not applicable.,,,,,,,
†Significant change from 2014 to 2015 at the 95% confidence level.,,,,,,,
‡Significant change from 2014 to 2015 at the 90% confidence level.,,,,,,,
"a/NCVS estimates exclude murder, and include simple assault.",,,,,,,
"b/NCVS measures include rape or sexual assault, robbery, and aggravated assault.",,,,,,,
c/NCVS estimates include sexual assault. The FBI’s Uniform Crime Reporting (UCR) estimate is based on the revised definition of rape but does not include agencies that used the legacy definition in 2014 and the revised definition in 2015.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 -2015; and FBI, Crime in the United States, 2015, https://ucr.fbi.gov/crime-in-the-u.s/2015/crime-in-the-u.s.-2015/tables/table-1.  ",,,,,,,
