Bureau of Justice Statistics,,,,,,,,
File name: cv15t03.csv,,,,,,,,
"Table 3. Property victimization, by type of property crime, 2014 and 2015",,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 10/20/2016,,,,,,,,
,,,,,,,,
Table 3,,,,,,,,
"Property victimization, by type of property crime, 2014 and 2015",,,,,,,,
,,Number,,,,"Rate per 1,000 households",,
Type of property crime,,2014*,"2,015",,,2014*,2015,
,Total,"15,288,470","14,611,040", ‡,,118.1,110.7, †
Burglary,,"2,993,480","2,904,570",,,23.1,22,
Motor vehicle theft,,"534,370","564,160",,,4.1,4.3,
Theft,,"11,760,620","11,142,310", †,,90.8,84.4, †
"Note: Detail may not sum to total due to rounding. Total number of households was 129,492,740 in 2014 and 131,962,260 in 2015. See appendix table 6 for standard errors. ",,,,,,,,
*Comparison year.,,,,,,,,
†Significant difference from comparison year at 95% confidence level.,,,,,,,,
‡Significant difference from comparison year at 90% confidence level.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 2014 and 2015.",,,,,,,,
