Bureau of Justice Statistics,,,,,,
File name: cv15t04.csv,,,,,,
"Table 4. Percent of victimizations reported to police, by type of crime, 2014 and 2015",,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,
Date of version: 10/20/2016,,,,,,
,,,,,,
Table 4,,,,,,
"Percent of victimizations reported to police, by type of crime, 2014 and 2015",,,,,,
Type of crime,,,2014*,,2015,
Violent crime/a,,,46,%,46.5,%
,Rape/sexual assault/b,,33.6,,32.5,
,Robbery,,60.9,,61.9,
,Assault,,44.6,,45.8,
,,Aggravated assault,58.4,,61.9,
,,Simple assault,40,,41.7,
,Domestic violence/c,,56.1,,57.7,
,,Intimate partner violence/d,57.9,,54.1,
,Stranger violence,,48.8,,42.1,
,Violent crime involving injury,,54.9,,57,
Serious violent crime/e,,,55.8,%,54.9,%
,Serious domestic violence/c,,60,,60.8,
,,Serious intimate partner violence/d,56.7,,49.6,
,Serious stranger violence,,65.4,,54.3,
,Serious violent crime involving weapons,,57.6,,56.3,
,Serious violent crime involving injury,,61,,59,
Property crime,,,37,%,34.6,% †
,Burglary,,60,,50.8, †
,Motor vehicle theft,,83.3,,69, †
,Theft,,29,,28.6,
Note: See appendix table 8 for standard errors. ,,,,,,
*Comparison year.,,,,,,
†Significant difference from comparison year at 95% confidence level.,,,,,,
a/Excludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.,,,,,,
b/BJS has initiated projects examining collection methods for self-report data on rape and sexual assault. See NCVS measurement of rape and sexual assault in Methodology for more information.,,,,,,
c/Includes victimization committed by intimate partners and family members. ,,,,,,
"d/Includes victimization committed by current or former spouses, boyfriends, ",,,,,,
or girlfriends.,,,,,,
"e/In the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault. ",,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 and 2015.",,,,,,
