Bureau of Justice Statistics,,,,,,,,,,
File name: cv15t05.csv,,,,,,,,,,
"Table 5. Rate of victimizations reported and not reported to police, by type of crime, 2014 and 2015",,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,
,,,,,,,,,,
"Table 5. Rate of victimizations reported and not reported to police, by type of crime, 2014 and 2015",,,,,,,,,,
,,,,,Reported to police,,Not reported to police,,,
Type of crime,,,2014*,2015,,,2014*,,2015,
Violent crime/a,,,9.2,8.6,,,10.5,,9.5,
,Rape/sexual assault/b,,0.4,0.5,,,0.7,,1.1,
,Robbery,,1.5,1.3,,,1,,0.8,
,Assault,,7.4,6.8,,,8.9,,7.6,
,,Aggravated assault,2.4,1.9,,,1.7,,1.1,
,,Simple assault,5,4.9,,,7.2,,6.5,
,Domestic violence/c,,2.3,2.3,,,1.7,,1.7,
,,Intimate partner violence/d,1.4,1.6,,,0.9,,1.4,
,Stranger violence,,4,2.8, ‡,,4.1,,3.6,
,Violent crime involving injury,,2.8,2.8,,,2.3,,2,
Serious violent crime/e,,,4.3,3.7,,,3.3,,3,
,Serious domestic violence/c,,0.9,1,,,0.6,,0.7,
,,Serious intimate partner violence/d,0.6,0.6,,,0.4,,0.6,
,Serious stranger violence,,2.3,1.4,†,,1.2,,1.1,
,Serious violent crime involving weapons,,2.8,2,,,2,,1.5,
,Serious violent crime involving injury,,1.6,1.4,,,1,,1,
Property crime,,,43.7,38.3, †,,72.8,,71.3,
,Burglary,,13.9,11.2, †,,8.8,,10.5, †
,Motor vehicle theft,,3.4,3,,,0.7,,1.3, †
,Theft,,26.4,24.1, ‡,,63.3,,59.5, ‡
"Note: Victimization rates are per 1,000 persons age 12 or older for violent crime or per 1,000 households for property crime. Excludes victimizations in which it was unknown whether the victimization was reported to police. See appendix table 9 for standard errors.",,,,,,,,,,
*Comparison year.,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,,,
a/Excludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.,,,,,,,,,,
b/BJS has initiated projects examining collection methods for self-report data on rape and sexual assault. See NCVS measurement of rape and sexual assault in Methodology for more information.,,,,,,,,,,
c/Includes victimization committed by intimate partners and family members. ,,,,,,,,,,
"d/Includes victimization committed by current or former spouses, boyfriends, or girlfriends.",,,,,,,,,,
"e/In the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault. ",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 and 2015.",,,,,,,,,,
