Bureau of Justice Statistics,,,,,,,,
File name: cv15t07.csv,,,,,,,,
"Table 7. Rate of violent victimization, by victim demographic characteristics, 2014 and 2015",,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,
Date of version: 10/20/2016,,,,,,,,
,,,,,,,,
Table 7,,,,,,,,
"Rate of violent victimization, by victim demographic characteristics, 2014 and 2015",,,,,,,,
Victim demographic characteristic,Violent crime/a,,Serious violent crime/b,,,,,
,,2014*,2015,,,2014*,2015,
,Total,20.1,18.6,,,7.7,6.8,
Sex,,,,,,,,
,Male,21.1,15.9, †,,8.3,5.4, †
,Female,19.1,21.1,,,7,8.1,
Race/Hispanic origin,,,,,,,,
,White/c,20.3,17.4,,,7,6,
,Black/c,22.5,22.6,,,10.1,8.4,
,Hispanic,16.2,16.8,,,8.3,7.1,
,"Other/c,d",23,25.7,,,7.7,10.4,
Age,,,,,,,,
,12–17,30.1,31.3,,,8.8,7.8,
,18–24,26.8,25.1,,,13.6,10.7,
,25–34,28.5,21.8, ‡,,8.6,9.3,
,35–49,21.6,22.6,,,8.9,7.8,
,50–64,17.9,14.2,,,7,5.7,
,65 or older,3.1,5.2, ‡,,1.3,1.5,
Marital status,,,,,,,,
,Never married,27.9,26.2,,,10.7,9.4,
,Married,12.4,9.9,,,4,3.5,
,Widowed,8.7,8.5,,,2.9,2.9,
,Divorced,30.3,35.3,,,14.2,13,
,Separated,52.8,39.5,,,27.7,20.6,
Household income/e,,,,,,,,
,"$9,999 or less",39.7,39.2,,,18.7,17.7,
,"$10,000–$14,999",36,27.7,,,16.8,12,
,"$15,000–$24,999",25.3,25.9,,,8.4,8.2,
,"$25,000–$34,999",19.7,16.3,,,8.3,5.5,
,"$35,000–$49,999",19,20.5,,,8.1,7.1,
,"$50,000–$74,999",16.4,16.3,,,5.4,5.9,
,"$75,000 or more",15.1,12.8,,,4.7,4.5,
"Note: Victimization rates are per 1,000 persons age 12 or older. See appendix table 11 for standard errors.",,,,,,,,
*Comparison year.,,,,,,,,
†Significant difference from comparison year at the 95% confidence level.,,,,,,,,
‡Significant difference from comparison year at the 90% confidence level.,,,,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.",,,,,,,,
"b/In the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,
c/Excludes persons of Hispanic or Latino origin.,,,,,,,,
"d/Includes American Indian and Alaska Natives; Asian, Native Hawaiian, and Other Pacific Islanders; and persons of two or more races.",,,,,,,,
e/Household income was imputed for 2014 and 2015. See Methodology.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 and 2015.",,,,,,,,
