Bureau of Justice Statistics,,,,,,,,,,
File name: cv15t08.csv,,,,,,,,,,
"Table 8. Rate of violent and property victimization, by household location, 2014 and 2015",,,,,,,,,,
"Report title:  Criminal Victimization, 2015 NCJ 250180",,,,,,,,,,
"Data source: National Crime Victimization Survey, 2014 and 2015",,,,,,,,,,
"Author:  Jennifer L. Truman, Ph.D., and Rachel E. Morgan, Ph.D., BJS Statisticians",,,,,,,,,,
Refer questions to:  askbjs@usdoj.gov (202) 307-0765,,,,,,,,,,
Date of version: 10/20/2016,,,,,,,,,,
,,,,,,,,,,
Table 8,,,,,,,,,,
"Rate of violent and property victimization, by household location, 2014 and 2015",,,,,,,,,,
,,Violent crime/a,,,Serious violent crime/b,,,Property crime/c,,
Household location,,2014*,2015,,2014*,2015,,2014*,2015,
,Total,20.1,18.6,,7.7,6.8,,118.1,110.7, †
Region,,,,,,,,,,
,Northeast,18.9,17.1,,6.2,5.1,,85.8,81.6,
,Midwest,20.6,19.6,,7.5,7.5,,111.8,105,
,South,20.2,16.9,,7.6,5.8,,116.2,107.6, †
,West,20.3,21.3,,8.9,8.8,,153,144.7,
Location of residence,,,,,,,,,,
,Urban,22.2,22.7,,9.3,8.6,,148.8,135.4, †
,Suburban,19.3,17.3,,6.9,6.3,,101.7,98.4,
,Rural,18.3,14,,6.5,4.2,,103.2,95.7,
"Note: Victimization rates are per 1,000 persons age 12 or older for violent crime and per 1,000 households for property crime. See appendix table 12 for standard errors.",,,,,,,,,,
*Comparison year.,,,,,,,,,,
†Significant difference from comparison year at the 95% confidence level. ,,,,,,,,,,
"a/Includes rape or sexual assault, robbery, aggravated assault, and simple assault. Excludes homicide because the NCVS is based on interviews with victims and therefore cannot measure murder.",,,,,,,,,,
"b/In the NCVS, serious violent crime includes rape or sexual assault, robbery, and aggravated assault.",,,,,,,,,,
"c/Includes household burglary, motor vehicle theft, and theft.",,,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey (NCVS), 2014 and 2015.",,,,,,,,,,
